Sample,Pquery,Multiplicity,EDPL
RAxML_portableTree.dino_epa,131f000d2bac2ca8711b7182375283f33b340896_31,1,0.799395
RAxML_portableTree.dino_epa,94d7e5203b4b5cd437c9ec87770a366c06dcfb15_42,1,0.137354
RAxML_portableTree.dino_epa,e8bbe0dbf9a15b5ea9c741c350538a8a84b78834_27,1,0
RAxML_portableTree.dino_epa,04afe92529dea4b166caad7b7a7ace2c4edb2801_33,1,0.670719
RAxML_portableTree.dino_epa,2d07ccc4f13dfd948ef178c1b9efde6cc8c5b3fa_22,1,0.601671
RAxML_portableTree.dino_epa,50d0c55a83c434ad490f295f387e09dfc6715e0b_31,1,0.217774
RAxML_portableTree.dino_epa,75ff38e18e6f31328fe328f6f886a0825f11a052_22,1,0.0589727
RAxML_portableTree.dino_epa,15801d3a29f7961f425dada58e917cfddcc2ddd6_31,1,0.0772814
RAxML_portableTree.dino_epa,20953b6e64482764034c2355a3eeac795802a175_30,1,0.532713
RAxML_portableTree.dino_epa,2a87298f5ccf55068ce47e58101460d7d6635646_23,1,0.0422755
RAxML_portableTree.dino_epa,2e394ea765bf21bafd2b1cb1ffcf23c07e345320_25,1,0.0768579
RAxML_portableTree.dino_epa,88e81cf401e23c4170e58b69bd9792a1eab54ef1_37,1,0.0345932
RAxML_portableTree.dino_epa,8fdd827e5aaebff23e7141d531d4473c85c9e4b3_24,1,0.0456236
RAxML_portableTree.dino_epa,f15da23c46bf7d4e8ed0100e0f51d32c907361ce_33,1,0.0331459
RAxML_portableTree.dino_epa,2efa5b52e5f4ad40b6eeda59eb49ca243500d8a5_23,1,0.142771
RAxML_portableTree.dino_epa,5a6b109fba234a42b8b3dd77923a50bc85643101_22,1,0.0763613
RAxML_portableTree.dino_epa,714697f848cfe6d73032442955fca9a8b52ba7cc_51,1,0.550802
RAxML_portableTree.dino_epa,c152628fcd8d2e43326e430ed5962bbb941ef011_21,1,0
RAxML_portableTree.dino_epa,8717bf65a60a565c009620537308e2f0e57f4a16_27,1,0.0752687
RAxML_portableTree.dino_epa,a2eb76bc4cedfebc1d711ed6d6a3fba9adf1fcc5_51,1,0.140163
RAxML_portableTree.dino_epa,bb6c88013cfdc29d332f6e40fbbc6de3363b7ed1_23,1,0.018873
RAxML_portableTree.dino_epa,c1819f88d8afe2c8ab4cf73a76cf7bc3651c1ba5_37,1,0
RAxML_portableTree.dino_epa,05972c797a2c6f8d1fa32d9b5f0caf88d0b15d16_17,1,0.0772229
RAxML_portableTree.dino_epa,53d48125e33c5a57830b5c928bd94c5acc0d3e0d_50,1,0.280046
RAxML_portableTree.dino_epa,c6d2c46f3a236eb0b657717fd2cfcee1dcf063ac_19,1,0
RAxML_portableTree.dino_epa,e4143d344fd4893179ce0a22ca5bc09186a0d42e_22,1,0.0777908
RAxML_portableTree.dino_epa,0ca5395074e7e9058a3c5ec686d034ead835768b_21,1,1.01536
RAxML_portableTree.dino_epa,17a4874bc7e04edc26ec1577ae4066fc2852d455_15,1,0.804548
RAxML_portableTree.dino_epa,6864ed4c9ab0f2a5d7a61b174eb392c47dbf7431_21,1,0.150846
RAxML_portableTree.dino_epa,7281a300e2fbacbfb132bc33179513ae99bc9a2f_21,1,0
RAxML_portableTree.dino_epa,87a9a37400a625a85e0f1bba40d2834aa50f42e5_61,1,0.422845
RAxML_portableTree.dino_epa,00bc87dcd8b04c7d2f678d44d7ffe3fb072b60c2_23,1,0.658751
RAxML_portableTree.dino_epa,4d43cbbc7f7eda599d52b0cfb45eb9e680e5f73f_19,1,0.0769001
