Sample,PqueryName,Multiplicity,LWR.1,LWR.2,LWR.3,LWR.4,LWR.5,Remainder
RAxML_portableTree.dino_epa,a06026dd39a4ca9d4009ad2d758ae0aaf0cdc792_147,1,0.290554,0.072123,0.058769,0.044646,0.022593,0.501337
RAxML_portableTree.dino_epa,2da5b3eb55017c94264e866e07818b0864a5c3c2_176,1,0.36501,0.141483,0.11723,0.037744,0.025575,0.303154
RAxML_portableTree.dino_epa,e04dc0f62a64ef583cc4dc4c706a680b2e1aa6eb_162,1,0.281277,0.274688,0.272349,0.024305,0.023746,0.11598
RAxML_portableTree.dino_epa,829d1b164c2896b8c6060a79bb6895fb586bf64f_129,1,0.083445,0.023561,0.018988,0.015108,0.015107,0.83416
RAxML_portableTree.dino_epa,844962070437fe7f89b7dc2c17e08eb06d7ed1c7_233,1,0.747744,0.117666,0.113411,0.007766,0.002217,0.002208
RAxML_portableTree.dino_epa,45f8434a67b7601bc476b51e5d4be9b668e6a919_135,1,0.440364,0.271832,0.264043,0.017459,0.0,0.0
RAxML_portableTree.dino_epa,f90e1d3417861d7ea72b0374db53e0232b7c069e_116,1,0.324956,0.324638,0.324447,0.006288,0.006287,0.005298
RAxML_portableTree.dino_epa,0977faa48e661e7fcc5cef43d3ffa6b9d25c2452_139,1,0.999999,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,5b69eb05cc2d757a032e3e8e78d0246e529ed185_198,1,0.779188,0.094393,0.094276,0.020982,0.00221,0.0
RAxML_portableTree.dino_epa,8b4c6ec50c3741216da330b2ebba6694177e2658_96,1,0.296058,0.196434,0.170376,0.16624,0.045582,0.115363
RAxML_portableTree.dino_epa,1695c4a0bf3dbde87ef638bf0b6f4da715b657f7_105,1,0.280986,0.274334,0.272152,0.024341,0.023721,0.116746
RAxML_portableTree.dino_epa,c523a186a8e841fb4c4a521e3dbd20bd14c86c4d_107,1,0.286435,0.27927,0.278206,0.026399,0.025696,0.094558
RAxML_portableTree.dino_epa,8b58a06f94ea2c4d9c3465d64311ad760dde1594_176,1,0.641792,0.027499,0.009396,0.008974,0.008372,0.294023
RAxML_portableTree.dino_epa,e823fb81d263ce8786e75badb0f0f44bc52e5e6e_78,1,1,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,1bd194b0d0e51088ec189bae6487b604e14c0ba0_105,1,0.141938,0.099416,0.079614,0.054341,0.051998,0.562696
RAxML_portableTree.dino_epa,3a7d4ab1008d9a1bb28838c522ade02ff3ec0374_83,1,0.599917,0.208098,0.162753,0.008336,0.008252,0.003364
RAxML_portableTree.dino_epa,a8aca37ba2936ac92ae64b658a3b595eff025d36_88,1,0.999999,0.0,0.0,0.0,0.0,0.0
RAxML_portableTree.dino_epa,756c4c1a7932c3553c365ddb070b125c1c1235d5_82,1,0.271213,0.062644,0.062492,0.06249,0.062473,0.469334
RAxML_portableTree.dino_epa,df7f3711309eca696c2529a44b78f4e6de0badb3_67,1,0.45482,0.043391,0.033884,0.025937,0.019325,0.412883
RAxML_portableTree.dino_epa,434335cd1d366058a4e591b3ff7902ba3d712f90_62,1,0.39956,0.100259,0.031966,0.02871,0.026922,0.4026
RAxML_portableTree.dino_epa,6e0e2138c79115b5b58f2a77f927f174228d7a17_69,1,0.110946,0.110941,0.110888,0.110836,0.110834,0.435707
RAxML_portableTree.dino_epa,b2d640bf8622b47281b523242ee8a660e8615ec5_58,1,0.262284,0.053983,0.051832,0.041585,0.022305,0.558202
RAxML_portableTree.dino_epa,2172d83cfe1ad4481c6dc8941e3c7a98f6ab27f5_70,1,0.596657,0.229332,0.159224,0.006569,0.0,0.0
RAxML_portableTree.dino_epa,f07d92a984474455dd525fd737a728391a2b6bb6_86,1,0.935592,0.036983,0.008387,0.007263,0.001236,0.001006
RAxML_portableTree.dino_epa,5840d9030eea063cf24dddc0d0f969885caff52e_62,1,0.286366,0.279224,0.277747,0.026291,0.025604,0.094845
RAxML_portableTree.dino_epa,22fc98e5e89a61cd4562042d0c02fe16ec2359f3_82,1,0.780987,0.028401,0.009079,0.00837,0.008243,0.155131
RAxML_portableTree.dino_epa,bd48536b13019496a7df289722c32a7199266219_107,1,0.30319,0.070365,0.063732,0.063135,0.033963,0.455652
RAxML_portableTree.dino_epa,941c0fa051a096e003c699f7747c41bf07765314_82,1,0.326452,0.325951,0.321051,0.023446,0.0,0.0
RAxML_portableTree.dino_epa,6868d656630344ab420014389943aece04921224_101,1,0.203606,0.203245,0.200766,0.194965,0.194954,0.0
RAxML_portableTree.dino_epa,c71b4f6b6fea023459721b3e84a267ce1e4f3d54_55,1,0.919461,0.039299,0.02271,0.015014,0.0,0.0
RAxML_portableTree.dino_epa,62b0f924cadcaac286ef0e17d80c84d052b77911_55,1,0.066354,0.026241,0.025053,0.02423,0.022587,0.825814
RAxML_portableTree.dino_epa,8a9d5714f75cc03908f4a56d6294f4d7a565b8ba_77,1,0.333873,0.069062,0.068428,0.066241,0.039903,0.412516
RAxML_portableTree.dino_epa,406d953c7717cabc7d0b33cc312c35583a3f6e92_48,1,0.798945,0.138941,0.059513,0.0,0.0,0.0
RAxML_portableTree.dino_epa,1a33ca03fc0df5c880a38e8955b39770bb2f86a4_54,1,0.333084,0.333071,0.333062,0.0,0.0,0.0
RAxML_portableTree.dino_epa,a512cec226db446585066f21cb2ee78eb7909a02_47,1,0.187572,0.187552,0.185254,0.180652,0.180643,0.069323
RAxML_portableTree.dino_epa,25a28d0babb0d60e9540d8854c9d6c8565de2d7b_50,1,0.431403,0.085646,0.030547,0.027471,0.019821,0.395282
